"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,157,"NPL","Nepal",1,"Central",1,"Bagmati","Anchal","Administrative Zone",NA,NA
2,157,"NPL","Nepal",1,"Central",2,"Janakpur","Anchal","Administrative Zone",NA,NA
3,157,"NPL","Nepal",1,"Central",3,"Narayani","Anchal","Administrative Zone",NA,NA
4,157,"NPL","Nepal",2,"East",4,"Koshi","Anchal","Administrative Zone",NA,NA
5,157,"NPL","Nepal",2,"East",5,"Mechi","Anchal","Administrative Zone",NA,NA
6,157,"NPL","Nepal",2,"East",6,"Sagarmatha","Anchal","Administrative Zone",NA,NA
7,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali","Anchal","Administrative Zone",NA,NA
8,157,"NPL","Nepal",3,"Far-Western",8,"Seti","Anchal","Administrative Zone",NA,NA
9,157,"NPL","Nepal",4,"Mid-Western",9,"Bheri","Anchal","Administrative Zone",NA,NA
10,157,"NPL","Nepal",4,"Mid-Western",10,"Karnali","Anchal","Administrative Zone",NA,NA
11,157,"NPL","Nepal",4,"Mid-Western",11,"Rapti","Anchal","Administrative Zone",NA,NA
12,157,"NPL","Nepal",5,"West",12,"Dhaualagiri",NA,NA,NA,NA
13,157,"NPL","Nepal",5,"West",13,"Gandaki","Anchal","Administrative Zone",NA,NA
14,157,"NPL","Nepal",5,"West",14,"Lumbini","Anchal","Administrative Zone",NA,NA
