"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur","Jilla","District",NA,"Bhadgaon| Khwopa|Bhaktapur Jilla"
2,157,"NPL","Nepal",1,"Central",1,"Bagmati",2,"Dhading","Jilla","District",NA,NA
3,157,"NPL","Nepal",1,"Central",1,"Bagmati",3,"Kathmandu","Jilla","District",NA,"KTM"
4,157,"NPL","Nepal",1,"Central",1,"Bagmati",4,"Kavrepalanchok","Jilla","District",NA,"Kavrepalanchowk, Kavreplanchok"
5,157,"NPL","Nepal",1,"Central",1,"Bagmati",5,"Lalitpur","Jilla","District",NA,"Patan"
6,157,"NPL","Nepal",1,"Central",1,"Bagmati",6,"Nuwakot","Jilla","District",NA,NA
7,157,"NPL","Nepal",1,"Central",1,"Bagmati",7,"Rasuwa","Jilla","District",NA,NA
8,157,"NPL","Nepal",1,"Central",1,"Bagmati",8,"Sindhupalchok","Jilla","District",NA,NA
9,157,"NPL","Nepal",1,"Central",2,"Janakpur",9,"Dhanusa","Jilla","District",NA,"Dhanusha"
10,157,"NPL","Nepal",1,"Central",2,"Janakpur",10,"Dolakha","Jilla","District",NA,"Dolkha"
11,157,"NPL","Nepal",1,"Central",2,"Janakpur",11,"Mahottari","Jilla","District",NA,"Mahotari"
12,157,"NPL","Nepal",1,"Central",2,"Janakpur",12,"Ramechhap","Jilla","District",NA,"Ramechap"
13,157,"NPL","Nepal",1,"Central",2,"Janakpur",13,"Sarlahi","Jilla","District",NA,NA
14,157,"NPL","Nepal",1,"Central",2,"Janakpur",14,"Sindhuli","Jilla","District",NA,NA
15,157,"NPL","Nepal",1,"Central",3,"Narayani",15,"Bara","Jilla","District",NA,NA
16,157,"NPL","Nepal",1,"Central",3,"Narayani",16,"Chitawan",NA,NA,NA,NA
17,157,"NPL","Nepal",1,"Central",3,"Narayani",17,"Makwanpur","Jilla","District",NA,"Makawanpur"
18,157,"NPL","Nepal",1,"Central",3,"Narayani",18,"Parsa","Jilla","District",NA,NA
19,157,"NPL","Nepal",1,"Central",3,"Narayani",19,"Rautahat","Jilla","District",NA,NA
20,157,"NPL","Nepal",2,"East",4,"Koshi",20,"Bhojpur","Jilla","District",NA,NA
21,157,"NPL","Nepal",2,"East",4,"Koshi",21,"Dhankuta","Jilla","District",NA,NA
22,157,"NPL","Nepal",2,"East",4,"Koshi",22,"Morang","Jilla","District",NA,NA
23,157,"NPL","Nepal",2,"East",4,"Koshi",23,"Sankhuwasabha","Jilla","District",NA,NA
24,157,"NPL","Nepal",2,"East",4,"Koshi",24,"Sunsari","Jilla","District",NA,NA
25,157,"NPL","Nepal",2,"East",4,"Koshi",25,"Terhathum","Jilla","District",NA,"Terathum"
26,157,"NPL","Nepal",2,"East",5,"Mechi",26,"Ilam","Jilla","District",NA,NA
27,157,"NPL","Nepal",2,"East",5,"Mechi",27,"Jhapa","Jilla","District",NA,NA
28,157,"NPL","Nepal",2,"East",5,"Mechi",28,"Panchthar","Jilla","District",NA,"Panchathar"
29,157,"NPL","Nepal",2,"East",5,"Mechi",29,"Taplejung","Jilla","District",NA,NA
30,157,"NPL","Nepal",2,"East",6,"Sagarmatha",30,"Khotang","Jilla","District",NA,NA
31,157,"NPL","Nepal",2,"East",6,"Sagarmatha",31,"Okhaldhunga","Jilla","District",NA,NA
32,157,"NPL","Nepal",2,"East",6,"Sagarmatha",32,"Saptari","Jilla","District",NA,NA
33,157,"NPL","Nepal",2,"East",6,"Sagarmatha",33,"Siraha","Jilla","District",NA,NA
34,157,"NPL","Nepal",2,"East",6,"Sagarmatha",34,"Solukhumbu","Jilla","District",NA,"Solukhombu"
35,157,"NPL","Nepal",2,"East",6,"Sagarmatha",35,"Udayapur","Jilla","District",NA,"Udaypur"
36,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali",36,"Baitadi","Jilla","District",NA,NA
37,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali",37,"Dadeldhura","Jilla","District",NA,"Dadelhura|Dadheldhura"
38,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali",38,"Darchula","Jilla","District",NA,NA
39,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali",39,"Kanchanpur","Jilla","District",NA,NA
40,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham","Jilla","District",NA,NA
41,157,"NPL","Nepal",3,"Far-Western",8,"Seti",41,"Bajhang","Jilla","District",NA,NA
42,157,"NPL","Nepal",3,"Far-Western",8,"Seti",42,"Bajura","Jilla","District",NA,NA
43,157,"NPL","Nepal",3,"Far-Western",8,"Seti",43,"Doti","Jilla","District",NA,NA
44,157,"NPL","Nepal",3,"Far-Western",8,"Seti",44,"Kailali","Jilla","District",NA,NA
45,157,"NPL","Nepal",4,"Mid-Western",9,"Bheri",45,"Banke","Jilla","District",NA,NA
46,157,"NPL","Nepal",4,"Mid-Western",9,"Bheri",46,"Bardiya","Jilla","District",NA,"Bardia"
47,157,"NPL","Nepal",4,"Mid-Western",9,"Bheri",47,"Dailekh","Jilla","District",NA,NA
48,157,"NPL","Nepal",4,"Mid-Western",9,"Bheri",48,"Jajarkot","Jilla","District",NA,NA
49,157,"NPL","Nepal",4,"Mid-Western",9,"Bheri",49,"Surkhet","Jilla","District",NA,NA
50,157,"NPL","Nepal",4,"Mid-Western",10,"Karnali",50,"Dolpa","Jilla","District",NA,NA
51,157,"NPL","Nepal",4,"Mid-Western",10,"Karnali",51,"Humla","Jilla","District",NA,NA
52,157,"NPL","Nepal",4,"Mid-Western",10,"Karnali",52,"Jumla","Jilla","District",NA,NA
53,157,"NPL","Nepal",4,"Mid-Western",10,"Karnali",53,"Kalikot","Jilla","District",NA,NA
54,157,"NPL","Nepal",4,"Mid-Western",10,"Karnali",54,"Mugu","Jilla","District",NA,NA
55,157,"NPL","Nepal",4,"Mid-Western",11,"Rapti",55,"Dang",NA,NA,NA,NA
56,157,"NPL","Nepal",4,"Mid-Western",11,"Rapti",56,"Pyuthan","Jilla","District",NA,NA
57,157,"NPL","Nepal",4,"Mid-Western",11,"Rapti",57,"Rolpa","Jilla","District",NA,NA
58,157,"NPL","Nepal",4,"Mid-Western",11,"Rapti",58,"Rukum","Jilla","District",NA,NA
59,157,"NPL","Nepal",4,"Mid-Western",11,"Rapti",59,"Salyan","Jilla","District",NA,NA
60,157,"NPL","Nepal",5,"West",12,"Dhaualagiri",60,"Baglung","Jilla","District",NA,NA
61,157,"NPL","Nepal",5,"West",12,"Dhaualagiri",61,"Mustang","Jilla","District",NA,NA
62,157,"NPL","Nepal",5,"West",12,"Dhaualagiri",62,"Myagdi","Jilla","District",NA,NA
