"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",1,"Bageswari",NA,"Village development committee","Village development committee"
2,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",2,"Balkot",NA,"Village development committee","Village development committee"
3,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",3,"BhaktapurN.P.",NA,"Village development committee","Village development committee"
4,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",4,"Changunarayan",NA,"Village development committee","Village development committee"
5,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",5,"Chhaling",NA,"Village development committee","Village development committee"
6,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",6,"Chitapol",NA,"Village development committee","Village development committee"
7,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",7,"Dadhikot",NA,"Village development committee","Village development committee"
8,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",8,"Duwakot",NA,"Village development committee","Village development committee"
9,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",9,"Gundu",NA,"Village development committee","Village development committee"
10,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",10,"Jhaukhel",NA,"Village development committee","Village development committee"
11,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",11,"Kautunje",NA,"Village development committee","Village development committee"
12,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",12,"MadhyapurThimiN.P.",NA,"Village development committee","Village development committee"
13,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",13,"Nagarkot",NA,"Village development committee","Village development committee"
14,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",14,"Nankhel",NA,"Village development committee","Village development committee"
15,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",15,"Sipadol",NA,"Village development committee","Village development committee"
